 4.50  5200.  0.0  2.0  0.7755 -0.9203  1.5316 -0.4895 g, L PHOENIX
 5.00  5200.  0.0  2.0  0.7704 -0.9308  1.5453 -0.4933 g, L PHOENIX
 3.50  5400.  0.0  2.0  0.7125 -0.7707  1.3671 -0.4469 g, L PHOENIX
 4.00  5400.  0.0  2.0  0.7751 -0.7955  1.3688 -0.4399 g, L PHOENIX
 4.50  5400.  0.0  2.0  0.7661 -0.8774  1.4980 -0.4974 g, L PHOENIX
 5.00  5400.  0.0  2.0  0.7624 -0.9001  1.5345 -0.5121 g, L PHOENIX
 3.50  5600.  0.0  2.0  0.7046 -0.7519  1.3641 -0.4630 g, L PHOENIX
 4.00  5600.  0.0  2.0  0.7823 -0.8130  1.4041 -0.4725 g, L PHOENIX
 4.50  5600.  0.0  2.0  0.7630 -0.8591  1.4957 -0.5175 g, L PHOENIX
 5.00  5600.  0.0  2.0  0.7794 -0.9732  1.7136 -0.6415 g, L PHOENIX
 3.50  5800.  0.0  2.0  0.7083 -0.7813  1.4245 -0.5048 g, L PHOENIX
 4.00  5800.  0.0  2.0  0.7973 -0.8628  1.4813 -0.5218 g, L PHOENIX
 4.50  5800.  0.0  2.0  0.7688 -0.8730  1.5326 -0.5531 g, L PHOENIX
 5.00  5800.  0.0  2.0  0.7804 -0.9686  1.7397 -0.6804 g, L PHOENIX
 3.50  7000.  0.0  2.0  0.7241 -1.0523  2.1404 -1.0009 g, L PHOENIX
 4.00  7000.  0.0  2.0  0.8778 -1.2993  2.3345 -1.0537 g, L PHOENIX
 4.50  7000.  0.0  2.0  0.7801 -0.9995  1.9607 -0.9094 g, L PHOENIX
 5.00  7000.  0.0  2.0  0.7678 -0.9361  1.8560 -0.8642 g, L PHOENIX
 3.50  7200.  0.0  2.0  0.6612 -0.8537  1.9603 -0.9663 g, L PHOENIX
 4.00  7200.  0.0  2.0  0.7740 -0.9252  1.9331 -0.9392 g, L PHOENIX
 4.50  7200.  0.0  2.0  0.7439 -0.8886  1.8703 -0.9029 g, L PHOENIX
 5.00  7200.  0.0  2.0  0.7405 -0.8545  1.7896 -0.8608 g, L PHOENIX
 3.50  7400.  0.0  2.0  0.5578 -0.5454  1.6597 -0.8846 g, L PHOENIX
 4.00  7400.  0.0  2.0  0.6942 -0.6975  1.7279 -0.8953 g, L PHOENIX
 4.50  7400.  0.0  2.0  0.6916 -0.7139  1.6948 -0.8600 g, L PHOENIX
 5.00  7400.  0.0  2.0  0.7018 -0.7308  1.6714 -0.8371 g, L PHOENIX
 3.50  7600.  0.0  2.0  0.4731 -0.2211  1.2612 -0.7380 g, L PHOENIX
 4.00  7600.  0.0  2.0  0.6248 -0.4339  1.4163 -0.7901 g, L PHOENIX
 4.50  7600.  0.0  2.0  0.6252 -0.4770  1.4308 -0.7776 g, L PHOENIX
 5.00  7600.  0.0  2.0  0.6491 -0.5516  1.4796 -0.7823 g, L PHOENIX
 3.50  7800.  0.0  2.0  0.4027  0.0928  0.8206 -0.5491 g, L PHOENIX
 4.00  7800.  0.0  2.0  0.5501 -0.1275  1.0265 -0.6430 g, L PHOENIX
 4.50  7800.  0.0  2.0  0.5242 -0.1534  1.0809 -0.6645 g, L PHOENIX
 5.00  7800.  0.0  2.0  0.5845 -0.3185  1.2103 -0.6926 g, L PHOENIX
 3.50  8000.  0.0  2.0  0.3631  0.3459  0.3729 -0.3187 g, L PHOENIX
 4.00  8000.  0.0  2.0  0.4892  0.1503  0.6443 -0.4869 g, L PHOENIX
 4.50  8000.  0.0  2.0  0.4611  0.1119  0.7343 -0.5315 g, L PHOENIX
 5.00  8000.  0.0  2.0  0.4955 -0.0195  0.8708 -0.5763 g, L PHOENIX
 3.50  8200.  0.0  2.0  0.3674  0.4601  0.0667 -0.1312 g, L PHOENIX
 4.00  8200.  0.0  2.0  0.4931  0.1653  0.5904 -0.4531 g, L PHOENIX
 4.50  8200.  0.0  2.0  0.4088  0.3589  0.3880 -0.3889 g, L PHOENIX
 5.00  8200.  0.0  2.0  0.4256  0.2587  0.5142 -0.4396 g, L PHOENIX
 3.50  8400.  0.0  2.0  0.3510  0.6585 -0.2677  0.0160 g, L PHOENIX
 4.00  8400.  0.0  2.0  0.3779  0.6560 -0.0860 -0.1605 g, L PHOENIX
 4.50  8400.  0.0  2.0  0.3828  0.5257  0.1197 -0.2676 g, L PHOENIX
 5.00  8400.  0.0  2.0  0.3763  0.4917  0.1869 -0.3052 g, L PHOENIX
 3.50  8600.  0.0  2.0  0.3443  0.7588 -0.4419  0.0881 g, L PHOENIX
 4.00  8600.  0.0  2.0  0.4574  0.4899 -0.0870 -0.0727 g, L PHOENIX
 4.50  8600.  0.0  2.0  0.3923  0.5346  0.0621 -0.2303 g, L PHOENIX
 5.00  8600.  0.0  2.0  0.3398  0.6971 -0.1229 -0.1724 g, L PHOENIX
 3.50  8800.  0.0  2.0  0.3698  0.7410 -0.4827  0.1151 g, L PHOENIX
 4.00  8800.  0.0  2.0  0.5814  0.1501  0.2090 -0.1518 g, L PHOENIX
