 4.00  5200.  0.0  2.0  0.9296 -0.8595  1.0341 -0.3797 z, L PHOENIX
 4.50  5200.  0.0  2.0  0.8150 -0.7311  0.9900 -0.3818 z, L PHOENIX
 5.00  5200.  0.0  2.0  0.7822 -0.6742  0.9523 -0.3719 z, L PHOENIX
 3.50  5400.  0.0  2.0  0.7454 -0.6245  0.8452 -0.3224 z, L PHOENIX
 4.00  5400.  0.0  2.0  0.9346 -0.8800  1.0268 -0.3734 z, L PHOENIX
 4.50  5400.  0.0  2.0  0.8106 -0.7060  0.9266 -0.3540 z, L PHOENIX
 5.00  5400.  0.0  2.0  0.7770 -0.6467  0.8896 -0.3458 z, L PHOENIX
 3.50  5600.  0.0  2.0  0.7439 -0.6389  0.8445 -0.3202 z, L PHOENIX
 4.00  5600.  0.0  2.0  0.9366 -0.9087  1.0445 -0.3796 z, L PHOENIX
 4.50  5600.  0.0  2.0  0.8096 -0.7050  0.9007 -0.3420 z, L PHOENIX
 5.00  5600.  0.0  2.0  0.7977 -0.7286  0.9875 -0.3943 z, L PHOENIX
 3.50  5800.  0.0  2.0  0.7447 -0.6682  0.8682 -0.3286 z, L PHOENIX
 4.00  5800.  0.0  2.0  0.9365 -0.9400  1.0719 -0.3903 z, L PHOENIX
 4.50  5800.  0.0  2.0  0.8098 -0.7176  0.8969 -0.3392 z, L PHOENIX
 5.00  5800.  0.0  2.0  0.8003 -0.7446  0.9885 -0.3951 z, L PHOENIX
 3.50  7000.  0.0  2.0  0.7677 -0.9529  1.2838 -0.5297 z, L PHOENIX
 4.00  7000.  0.0  2.0  0.9697 -1.2832  1.5461 -0.6082 z, L PHOENIX
 4.50  7000.  0.0  2.0  0.8562 -1.0511  1.3314 -0.5422 z, L PHOENIX
 5.00  7000.  0.0  2.0  0.8309 -0.9898  1.2633 -0.5174 z, L PHOENIX
 3.50  7200.  0.0  2.0  0.7510 -0.9213  1.2748 -0.5400 z, L PHOENIX
 4.00  7200.  0.0  2.0  0.9410 -1.2262  1.5293 -0.6281 z, L PHOENIX
 4.50  7200.  0.0  2.0  0.8458 -1.0477  1.3486 -0.5590 z, L PHOENIX
 5.00  7200.  0.0  2.0  0.8233 -0.9946  1.2833 -0.5325 z, L PHOENIX
 3.50  7400.  0.0  2.0  0.7221 -0.8769  1.2718 -0.5588 z, L PHOENIX
 4.00  7400.  0.0  2.0  0.9174 -1.2131  1.5675 -0.6633 z, L PHOENIX
 4.50  7400.  0.0  2.0  0.8290 -1.0194  1.3371 -0.5653 z, L PHOENIX
 5.00  7400.  0.0  2.0  0.8112 -0.9834  1.2871 -0.5424 z, L PHOENIX
 3.50  7600.  0.0  2.0  0.6961 -0.7851  1.1647 -0.5233 z, L PHOENIX
 4.00  7600.  0.0  2.0  0.8913 -1.1421  1.4971 -0.6453 z, L PHOENIX
 4.50  7600.  0.0  2.0  0.8057 -0.9634  1.2904 -0.5576 z, L PHOENIX
 5.00  7600.  0.0  2.0  0.7937 -0.9520  1.2680 -0.5441 z, L PHOENIX
 3.50  7800.  0.0  2.0  0.6692 -0.6587  0.9901 -0.4524 z, L PHOENIX
 4.00  7800.  0.0  2.0  0.8587 -1.0316  1.3672 -0.6000 z, L PHOENIX
 4.50  7800.  0.0  2.0  0.7721 -0.9014  1.2600 -0.5629 z, L PHOENIX
 5.00  7800.  0.0  2.0  0.7708 -0.8965  1.2180 -0.5334 z, L PHOENIX
 3.50  8000.  0.0  2.0  0.6479 -0.5167  0.7632 -0.3502 z, L PHOENIX
 4.00  8000.  0.0  2.0  0.8290 -0.9145  1.2136 -0.5397 z, L PHOENIX
 4.50  8000.  0.0  2.0  0.7480 -0.8210  1.1624 -0.5286 z, L PHOENIX
 5.00  8000.  0.0  2.0  0.7411 -0.8350  1.1758 -0.5301 z, L PHOENIX
 3.50  8200.  0.0  2.0  0.6279 -0.3651  0.5061 -0.2298 z, L PHOENIX
 4.00  8200.  0.0  2.0  0.8310 -0.8974  1.1602 -0.5076 z, L PHOENIX
 4.50  8200.  0.0  2.0  0.7236 -0.7241  1.0325 -0.4774 z, L PHOENIX
 5.00  8200.  0.0  2.0  0.7129 -0.7500  1.0803 -0.4985 z, L PHOENIX
 3.50  8400.  0.0  2.0  0.5911 -0.1643  0.2108 -0.1034 z, L PHOENIX
 4.00  8400.  0.0  2.0  0.7505 -0.6066  0.8093 -0.3730 z, L PHOENIX
 4.50  8400.  0.0  2.0  0.7087 -0.6459  0.9106 -0.4241 z, L PHOENIX
 5.00  8400.  0.0  2.0  0.6897 -0.6624  0.9648 -0.4538 z, L PHOENIX
 3.50  8600.  0.0  2.0  0.6203 -0.2268  0.2569 -0.1186 z, L PHOENIX
 4.00  8600.  0.0  2.0  0.7582 -0.5684  0.6685 -0.2889 z, L PHOENIX
 4.50  8600.  0.0  2.0  0.7190 -0.6561  0.8907 -0.4069 z, L PHOENIX
 5.00  8600.  0.0  2.0  0.6710 -0.5800  0.8475 -0.4062 z, L PHOENIX
 3.50  8800.  0.0  2.0  0.6507 -0.2900  0.2926 -0.1246 z, L PHOENIX
 4.00  8800.  0.0  2.0  0.7695 -0.5445  0.5447 -0.2110 z, L PHOENIX
 4.50  8800.  0.0  2.0  0.6751 -0.4609  0.6139 -0.2867 z, L PHOENIX
 5.00  8800.  0.0  2.0  0.6649 -0.5333  0.7594 -0.3642 z, L PHOENIX
 3.50  9000.  0.0  2.0  0.6673 -0.2407  0.1727 -0.0649 z, L PHOENIX
 4.00  9000.  0.0  2.0  0.7935 -0.6196  0.6185 -0.2420 z, L PHOENIX
 4.50  9000.  0.0  2.0  0.7005 -0.4695  0.4959 -0.2020 z, L PHOENIX
 5.00  9000.  0.0  2.0  0.6978 -0.6045  0.7705 -0.3418 z, L PHOENIX
 3.50  9200.  0.0  2.0  0.7139 -0.3890  0.3296 -0.1229 z, L PHOENIX
 4.00  9200.  0.0  2.0  0.7961 -0.5608  0.5013 -0.1860 z, L PHOENIX
 4.50  9200.  0.0  2.0  0.6979 -0.4580  0.4683 -0.1899 z, L PHOENIX
 5.00  9200.  0.0  2.0  0.6860 -0.5270  0.6275 -0.2728 z, L PHOENIX
 3.50  9400.  0.0  2.0  0.8160 -0.6412  0.5784 -0.2118 z, L PHOENIX
 4.00  9400.  0.0  2.0  0.7933 -0.5529  0.4774 -0.1734 z, L PHOENIX
 4.50  9400.  0.0  2.0  0.7024 -0.4721  0.4678 -0.1860 z, L PHOENIX
 5.00  9400.  0.0  2.0  0.6767 -0.4566  0.4743 -0.1922 z, L PHOENIX
 3.50  9600.  0.0  2.0  0.8131 -0.6637  0.6103 -0.2257 z, L PHOENIX
 4.00  9600.  0.0  2.0  0.8011 -0.6114  0.5471 -0.2007 z, L PHOENIX
 4.50  9600.  0.0  2.0  0.7048 -0.4832  0.4665 -0.1820 z, L PHOENIX
 5.00  9600.  0.0  2.0  0.6706 -0.4524  0.4524 -0.1752 z, L PHOENIX
 3.50  9800.  0.0  2.0  0.8407 -0.7202  0.6538 -0.2387 z, L PHOENIX
 4.00  9800.  0.0  2.0  0.8155 -0.6593  0.5938 -0.2173 z, L PHOENIX
 4.50  9800.  0.0  2.0  0.7191 -0.5142  0.4842 -0.1851 z, L PHOENIX
 5.00  9800.  0.0  2.0  0.6770 -0.4551  0.4401 -0.1721 z, L PHOENIX
