 4.50  5200.  0.0  2.0  0.7808 -0.6660  1.0402 -0.4048 i, L PHOENIX
 5.00  5200.  0.0  2.0  0.7564 -0.6328  1.0237 -0.4009 i, L PHOENIX
 3.50  5400.  0.0  2.0  0.7066 -0.5150  0.8397 -0.3275 i, L PHOENIX
 4.00  5400.  0.0  2.0  0.8832 -0.7450  0.9971 -0.3685 i, L PHOENIX
 4.50  5400.  0.0  2.0  0.7763 -0.6175  0.9425 -0.3646 i, L PHOENIX
 5.00  5400.  0.0  2.0  0.7504 -0.5849  0.9339 -0.3665 i, L PHOENIX
 3.50  5600.  0.0  2.0  0.7067 -0.5131  0.8129 -0.3169 i, L PHOENIX
 4.00  5600.  0.0  2.0  0.8934 -0.7734  1.0042 -0.3713 i, L PHOENIX
 4.50  5600.  0.0  2.0  0.7788 -0.6063  0.8974 -0.3462 i, L PHOENIX
 5.00  5600.  0.0  2.0  0.7783 -0.6758  1.0461 -0.4264 i, L PHOENIX
 3.50  5800.  0.0  2.0  0.7079 -0.5248  0.8085 -0.3156 i, L PHOENIX
 4.00  5800.  0.0  2.0  0.9003 -0.8042  1.0214 -0.3787 i, L PHOENIX
 4.50  5800.  0.0  2.0  0.7821 -0.6109  0.8775 -0.3380 i, L PHOENIX
 5.00  5800.  0.0  2.0  0.7843 -0.6863  1.0363 -0.4244 i, L PHOENIX
 3.50  7000.  0.0  2.0  0.7447 -0.7239  0.9841 -0.3954 i, L PHOENIX
 4.00  7000.  0.0  2.0  0.9592 -1.1026  1.3345 -0.5162 i, L PHOENIX
 4.50  7000.  0.0  2.0  0.8470 -0.9236  1.2312 -0.5066 i, L PHOENIX
 5.00  7000.  0.0  2.0  0.8238 -0.8919  1.2209 -0.5100 i, L PHOENIX
 3.50  7200.  0.0  2.0  0.7452 -0.7307  0.9855 -0.3991 i, L PHOENIX
 4.00  7200.  0.0  2.0  0.9563 -1.1173  1.3834 -0.5573 i, L PHOENIX
 4.50  7200.  0.0  2.0  0.8442 -0.9268  1.2329 -0.5115 i, L PHOENIX
 5.00  7200.  0.0  2.0  0.8197 -0.8939  1.2214 -0.5139 i, L PHOENIX
 3.50  7400.  0.0  2.0  0.7473 -0.7860  1.0759 -0.4456 i, L PHOENIX
 4.00  7400.  0.0  2.0  0.9585 -1.1793  1.4862 -0.6103 i, L PHOENIX
 4.50  7400.  0.0  2.0  0.8396 -0.9219  1.2240 -0.5120 i, L PHOENIX
 5.00  7400.  0.0  2.0  0.8146 -0.8913  1.2164 -0.5157 i, L PHOENIX
 3.50  7600.  0.0  2.0  0.7507 -0.7928  1.0647 -0.4404 i, L PHOENIX
 4.00  7600.  0.0  2.0  0.9604 -1.1888  1.4830 -0.6096 i, L PHOENIX
 4.50  7600.  0.0  2.0  0.8330 -0.9073  1.2012 -0.5063 i, L PHOENIX
 5.00  7600.  0.0  2.0  0.8075 -0.8800  1.2000 -0.5128 i, L PHOENIX
 3.50  7800.  0.0  2.0  0.7486 -0.7653  1.0050 -0.4143 i, L PHOENIX
 4.00  7800.  0.0  2.0  0.9552 -1.1661  1.4365 -0.5901 i, L PHOENIX
 4.50  7800.  0.0  2.0  0.8251 -0.9310  1.2569 -0.5399 i, L PHOENIX
 5.00  7800.  0.0  2.0  0.7989 -0.8606  1.1719 -0.5047 i, L PHOENIX
 3.50  8000.  0.0  2.0  0.7434 -0.7096  0.9012 -0.3690 i, L PHOENIX
 4.00  8000.  0.0  2.0  0.9480 -1.1310  1.3690 -0.5597 i, L PHOENIX
 4.50  8000.  0.0  2.0  0.8251 -0.9291  1.2332 -0.5283 i, L PHOENIX
 5.00  8000.  0.0  2.0  0.7896 -0.8665  1.1954 -0.5224 i, L PHOENIX
 3.50  8200.  0.0  2.0  0.7304 -0.6313  0.7736 -0.3157 i, L PHOENIX
 4.00  8200.  0.0  2.0  0.9493 -1.1124  1.2957 -0.5143 i, L PHOENIX
