 4.50  5200.  0.0  2.0  1.1878 -1.5046  1.5436 -0.2939 u, L PHOENIX
 5.00  5200.  0.0  2.0  1.2680 -1.6266  1.5843 -0.3133 u, L PHOENIX
 3.50  5400.  0.0  2.0  0.9507 -1.1806  1.4420 -0.2939 u, L PHOENIX
 4.00  5400.  0.0  2.0  0.9223 -1.0000  1.2616 -0.2316 u, L PHOENIX
 4.50  5400.  0.0  2.0  1.1224 -1.4662  1.6379 -0.3634 u, L PHOENIX
 5.00  5400.  0.0  2.0  1.2051 -1.5978  1.6639 -0.3587 u, L PHOENIX
 3.50  5600.  0.0  2.0  0.8876 -1.1083  1.4771 -0.3482 u, L PHOENIX
 4.00  5600.  0.0  2.0  0.8563 -0.8842  1.2082 -0.2350 u, L PHOENIX
 4.50  5600.  0.0  2.0  1.0406 -1.3488  1.6283 -0.3948 u, L PHOENIX
 5.00  5600.  0.0  2.0  1.1682 -1.6702  1.9367 -0.5223 u, L PHOENIX
 3.50  5800.  0.0  2.0  0.8541 -1.1131  1.6166 -0.4598 u, L PHOENIX
 4.00  5800.  0.0  2.0  0.8310 -0.8819  1.2953 -0.3059 u, L PHOENIX
 4.50  5800.  0.0  2.0  0.9618 -1.2087  1.5630 -0.3972 u, L PHOENIX
 5.00  5800.  0.0  2.0  1.0965 -1.5839  1.9754 -0.5796 u, L PHOENIX
 3.50  7000.  0.0  2.0  0.7540 -0.8891  1.7232 -0.7486 u, L PHOENIX
 4.00  7000.  0.0  2.0  0.8078 -0.8832  1.6727 -0.7042 u, L PHOENIX
 4.50  7000.  0.0  2.0  0.8176 -0.9486  1.7205 -0.7110 u, L PHOENIX
 5.00  7000.  0.0  2.0  0.8588 -1.0996  1.8798 -0.7621 u, L PHOENIX
 3.50  7200.  0.0  2.0  0.7041 -0.7157  1.5221 -0.6822 u, L PHOENIX
 4.00  7200.  0.0  2.0  0.7478 -0.6373  1.3711 -0.6008 u, L PHOENIX
 4.50  7200.  0.0  2.0  0.7806 -0.8104  1.5627 -0.6638 u, L PHOENIX
 5.00  7200.  0.0  2.0  0.8188 -0.9531  1.7168 -0.7146 u, L PHOENIX
 3.50  7400.  0.0  2.0  0.6719 -0.6214  1.4246 -0.6576 u, L PHOENIX
 4.00  7400.  0.0  2.0  0.7337 -0.5880  1.3199 -0.5940 u, L PHOENIX
 4.50  7400.  0.0  2.0  0.7448 -0.6765  1.4088 -0.6177 u, L PHOENIX
 5.00  7400.  0.0  2.0  0.7828 -0.8215  1.5671 -0.6696 u, L PHOENIX
 3.50  7600.  0.0  2.0  0.6320 -0.4607  1.2272 -0.5925 u, L PHOENIX
 4.00  7600.  0.0  2.0  0.7155 -0.4817  1.1782 -0.5501 u, L PHOENIX
 4.50  7600.  0.0  2.0  0.7113 -0.5474  1.2627 -0.5773 u, L PHOENIX
 5.00  7600.  0.0  2.0  0.7499 -0.7004  1.4322 -0.6325 u, L PHOENIX
 3.50  7800.  0.0  2.0  0.5921 -0.2866  0.9869 -0.4951 u, L PHOENIX
 4.00  7800.  0.0  2.0  0.6842 -0.3296  0.9859 -0.4886 u, L PHOENIX
 4.50  7800.  0.0  2.0  0.6882 -0.4775  1.2034 -0.5748 u, L PHOENIX
 5.00  7800.  0.0  2.0  0.7160 -0.5709  1.2873 -0.5936 u, L PHOENIX
 3.50  8000.  0.0  2.0  0.5750 -0.1730  0.7495 -0.3578 u, L PHOENIX
 4.00  8000.  0.0  2.0  0.6440 -0.1397  0.7373 -0.3997 u, L PHOENIX
 4.50  8000.  0.0  2.0  0.6558 -0.3195  0.9969 -0.5059 u, L PHOENIX
 5.00  8000.  0.0  2.0  0.6862 -0.4683  1.1821 -0.5719 u, L PHOENIX
 3.50  8200.  0.0  2.0  0.6379 -0.3553  0.9329 -0.4195 u, L PHOENIX
 4.00  8200.  0.0  2.0  0.6119  0.0001  0.5455 -0.3240 u, L PHOENIX
 4.50  8200.  0.0  2.0  0.6133 -0.1161  0.7227 -0.4044 u, L PHOENIX
 5.00  8200.  0.0  2.0  0.6477 -0.2983  0.9637 -0.4972 u, L PHOENIX
 3.50  8400.  0.0  2.0  0.6195 -0.2062  0.7117 -0.3358 u, L PHOENIX
 4.00  8400.  0.0  2.0  0.5620  0.2071  0.2404 -0.1802 u, L PHOENIX
 4.50  8400.  0.0  2.0  0.5767  0.0793  0.4361 -0.2871 u, L PHOENIX
 5.00  8400.  0.0  2.0  0.6046 -0.0879  0.6722 -0.3855 u, L PHOENIX
 3.50  8600.  0.0  2.0  0.6067 -0.0534  0.4401 -0.2137 u, L PHOENIX
 4.00  8600.  0.0  2.0  0.6730 -0.1234  0.5250 -0.2434 u, L PHOENIX
 4.50  8600.  0.0  2.0  0.5495  0.2317  0.1942 -0.1791 u, L PHOENIX
 5.00  8600.  0.0  2.0  0.5637  0.1347  0.3437 -0.2505 u, L PHOENIX
 3.50  8800.  0.0  2.0  0.6229 -0.0245  0.3366 -0.1626 u, L PHOENIX
 4.00  8800.  0.0  2.0  0.7446 -0.3164  0.7406 -0.3429 u, L PHOENIX
 4.50  8800.  0.0  2.0  0.5627  0.2295  0.1108 -0.1060 u, L PHOENIX
 5.00  8800.  0.0  2.0  0.5481  0.2706  0.1072 -0.1436 u, L PHOENIX
 3.50  9000.  0.0  2.0  0.6595 -0.0774  0.3671 -0.1711 u, L PHOENIX
 4.00  9000.  0.0  2.0  0.7352 -0.1698  0.4490 -0.2017 u, L PHOENIX
 4.50  9000.  0.0  2.0  0.7478 -0.3770  0.7662 -0.3392 u, L PHOENIX
 5.00  9000.  0.0  2.0  0.5634  0.2384  0.1045 -0.1332 u, L PHOENIX
 3.50  9200.  0.0  2.0  0.6700 -0.0776  0.3254 -0.1491 u, L PHOENIX
 4.00  9200.  0.0  2.0  0.7573 -0.1896  0.4417 -0.1963 u, L PHOENIX
 4.50  9200.  0.0  2.0  0.7491 -0.3012  0.6097 -0.2684 u, L PHOENIX
 5.00  9200.  0.0  2.0  0.6271  0.0835  0.1785 -0.1157 u, L PHOENIX
 3.50  9400.  0.0  2.0  0.6880 -0.0331  0.2239 -0.1036 u, L PHOENIX
 4.00  9400.  0.0  2.0  0.7808 -0.2324  0.4517 -0.1934 u, L PHOENIX
 4.50  9400.  0.0  2.0  0.7582 -0.2824  0.5348 -0.2297 u, L PHOENIX
 5.00  9400.  0.0  2.0  0.7601 -0.3729  0.6864 -0.2968 u, L PHOENIX
 3.50  9600.  0.0  2.0  0.6764 -0.0188  0.1947 -0.0912 u, L PHOENIX
 4.00  9600.  0.0  2.0  0.7783 -0.2215  0.4094 -0.1725 u, L PHOENIX
 4.50  9600.  0.0  2.0  0.7600 -0.2711  0.4905 -0.2081 u, L PHOENIX
 5.00  9600.  0.0  2.0  0.7530 -0.3673  0.6921 -0.3118 u, L PHOENIX
 3.50  9800.  0.0  2.0  0.6765 -0.0008  0.1590 -0.0761 u, L PHOENIX
 4.00  9800.  0.0  2.0  0.7756 -0.2036  0.3685 -0.1543 u, L PHOENIX
 4.50  9800.  0.0  2.0  0.7686 -0.2714  0.4637 -0.1944 u, L PHOENIX
 5.00  9800.  0.0  2.0  0.7681 -0.3289  0.5567 -0.2364 u, L PHOENIX
