 3.00  5250. -5.0  2.0 -0.3287  2.8979 -3.1278  1.1981 r, L ATLAS
 3.50  5250. -5.0  2.0 -0.2625  2.8146 -3.1011  1.1946 r, L ATLAS
 4.00  5250. -5.0  2.0 -0.1439  2.5064 -2.7694  1.0626 r, L ATLAS
 4.50  5250. -5.0  2.0  0.1045  1.9811 -2.3298  0.9197 r, L ATLAS
 5.00  5250. -5.0  2.0  0.4718  1.2708 -1.8264  0.7883 r, L ATLAS
 0.00  5500. -5.0  2.0 -0.1615  1.9269 -1.7918  0.6715 r, L ATLAS
 0.50  5500. -5.0  2.0 -0.1264  1.9102 -1.8393  0.7067 r, L ATLAS
 1.00  5500. -5.0  2.0 -0.1390  2.0219 -2.0138  0.7824 r, L ATLAS
 1.50  5500. -5.0  2.0 -0.1774  2.2171 -2.2810  0.8895 r, L ATLAS
 2.00  5500. -5.0  2.0 -0.2402  2.4566 -2.5668  0.9922 r, L ATLAS
 2.50  5500. -5.0  2.0 -0.2909  2.6586 -2.8057  1.0742 r, L ATLAS
 3.00  5500. -5.0  2.0 -0.3148  2.7718 -2.9402  1.1157 r, L ATLAS
 3.50  5500. -5.0  2.0 -0.3076  2.7892 -2.9661  1.1165 r, L ATLAS
 4.00  5500. -5.0  2.0 -0.2409  2.6956 -2.9320  1.1143 r, L ATLAS
 4.50  5500. -5.0  2.0 -0.0858  2.4055 -2.7338  1.0647 r, L ATLAS
 5.00  5500. -5.0  2.0  0.1076  2.0405 -2.4746  0.9930 r, L ATLAS
 0.00  5750. -5.0  2.0  0.1301  0.5557  0.0474 -0.0588 r, L ATLAS
 0.50  5750. -5.0  2.0 -0.1644  2.0183 -1.9233  0.7109 r, L ATLAS
 1.00  5750. -5.0  2.0 -0.1147  2.0244 -2.0668  0.8052 r, L ATLAS
 1.50  5750. -5.0  2.0 -0.1522  2.1684 -2.2468  0.8751 r, L ATLAS
 2.00  5750. -5.0  2.0 -0.2130  2.3758 -2.4857  0.9607 r, L ATLAS
 2.50  5750. -5.0  2.0 -0.2643  2.5409 -2.6592  1.0135 r, L ATLAS
 3.00  5750. -5.0  2.0 -0.2997  2.6518 -2.7663  1.0395 r, L ATLAS
 3.50  5750. -5.0  2.0 -0.3115  2.7071 -2.8228  1.0491 r, L ATLAS
 4.00  5750. -5.0  2.0 -0.2908  2.6920 -2.8287  1.0499 r, L ATLAS
 4.50  5750. -5.0  2.0 -0.2305  2.6419 -2.8686  1.0844 r, L ATLAS
 5.00  5750. -5.0  2.0 -0.1120  2.4598 -2.7892  1.0784 r, L ATLAS
 0.00  6000. -5.0  2.0  0.1573  0.4818  0.1496 -0.1165 r, L ATLAS
 0.50  6000. -5.0  2.0  0.1853  0.4087  0.2228 -0.1415 r, L ATLAS
 1.00  6000. -5.0  2.0 -0.0389  1.6716 -1.5705  0.5863 r, L ATLAS
 1.50  6000. -5.0  2.0 -0.1507  2.1766 -2.2633  0.8745 r, L ATLAS
 2.00  6000. -5.0  2.0 -0.2059  2.3536 -2.4679  0.9509 r, L ATLAS
 2.50  6000. -5.0  2.0 -0.2481  2.4634 -2.5647  0.9736 r, L ATLAS
 3.00  6000. -5.0  2.0 -0.2852  2.5616 -2.6496  0.9909 r, L ATLAS
 3.50  6000. -5.0  2.0 -0.3250  2.6808 -2.7657  1.0212 r, L ATLAS
 4.00  6000. -5.0  2.0 -0.3194  2.6563 -2.7166  0.9894 r, L ATLAS
 4.50  6000. -5.0  2.0 -0.2730  2.5953 -2.7009  0.9914 r, L ATLAS
 5.00  6000. -5.0  2.0 -0.2146  2.5583 -2.7581  1.0318 r, L ATLAS
 0.50  6250. -5.0  2.0  0.1935  0.3881  0.2713 -0.1815 r, L ATLAS
 1.00  6250. -5.0  2.0  0.2143  0.3220  0.3401 -0.2051 r, L ATLAS
 1.50  6250. -5.0  2.0 -0.0851  1.8655 -1.8255  0.6810 r, L ATLAS
 2.00  6250. -5.0  2.0 -0.1891  2.2683 -2.3392  0.8834 r, L ATLAS
 2.50  6250. -5.0  2.0 -0.2465  2.4253 -2.5034  0.9401 r, L ATLAS
 3.00  6250. -5.0  2.0 -0.2864  2.5216 -2.5850  0.9586 r, L ATLAS
 3.50  6250. -5.0  2.0 -0.3133  2.5791 -2.6179  0.9554 r, L ATLAS
 4.00  6250. -5.0  2.0 -0.3165  2.5926 -2.6229  0.9478 r, L ATLAS
 4.50  6250. -5.0  2.0 -0.2957  2.5980 -2.6746  0.9739 r, L ATLAS
 5.00  6250. -5.0  2.0 -0.2679  2.5675 -2.6751  0.9779 r, L ATLAS
 0.50  6500. -5.0  2.0  0.1657  0.5175  0.1098 -0.1272 r, L ATLAS
 1.00  6500. -5.0  2.0  0.2108  0.3506  0.3230 -0.2173 r, L ATLAS
 1.50  6500. -5.0  2.0  0.2253  0.2826  0.4055 -0.2494 r, L ATLAS
 2.00  6500. -5.0  2.0 -0.1272  2.0370 -2.0564  0.7684 r, L ATLAS
 2.50  6500. -5.0  2.0 -0.2334  2.4008 -2.4925  0.9330 r, L ATLAS
 3.00  6500. -5.0  2.0 -0.2690  2.4619 -2.5259  0.9347 r, L ATLAS
 3.50  6500. -5.0  2.0 -0.3091  2.5431 -2.5783  0.9394 r, L ATLAS
 4.00  6500. -5.0  2.0 -0.3105  2.5304 -2.5393  0.9121 r, L ATLAS
 4.50  6500. -5.0  2.0 -0.3014  2.5192 -2.5309  0.9049 r, L ATLAS
 5.00  6500. -5.0  2.0 -0.2696  2.4925 -2.5470  0.9176 r, L ATLAS
 0.50  6750. -5.0  2.0  0.1176  0.7286 -0.1539 -0.0322 r, L ATLAS
 1.00  6750. -5.0  2.0  0.1783  0.5199  0.0966 -0.1333 r, L ATLAS
 1.50  6750. -5.0  2.0  0.2115  0.3608  0.3171 -0.2305 r, L ATLAS
 2.00  6750. -5.0  2.0  0.2147  0.3032  0.3993 -0.2648 r, L ATLAS
 2.50  6750. -5.0  2.0 -0.1722  2.1980 -2.2652  0.8464 r, L ATLAS
 3.00  6750. -5.0  2.0 -0.2690  2.4768 -2.5589  0.9449 r, L ATLAS
 3.50  6750. -5.0  2.0 -0.2985  2.5143 -2.5608  0.9334 r, L ATLAS
 4.00  6750. -5.0  2.0 -0.3053  2.5039 -2.5181  0.9048 r, L ATLAS
 4.50  6750. -5.0  2.0 -0.2976  2.4723 -2.4691  0.8786 r, L ATLAS
 5.00  6750. -5.0  2.0 -0.2810  2.4508 -2.4593  0.8736 r, L ATLAS
 0.50  7000. -5.0  2.0  0.0627  0.9705 -0.4550  0.0752 r, L ATLAS
 1.00  7000. -5.0  2.0  0.1362  0.7460 -0.2123 -0.0137 r, L ATLAS
 1.50  7000. -5.0  2.0  0.1802  0.5526  0.0404 -0.1197 r, L ATLAS
 2.00  7000. -5.0  2.0  0.2008  0.4025  0.2704 -0.2256 r, L ATLAS
 2.50  7000. -5.0  2.0  0.1963  0.3522  0.3578 -0.2661 r, L ATLAS
 3.00  7000. -5.0  2.0 -0.2061  2.2964 -2.3738  0.8776 r, L ATLAS
 3.50  7000. -5.0  2.0 -0.2665  2.4439 -2.5055  0.9129 r, L ATLAS
 4.00  7000. -5.0  2.0 -0.2869  2.4629 -2.4937  0.8981 r, L ATLAS
